,title,rank,date,artist,url,region,chart,trend,streams
4589460,Calma - Remix,1,2019-01-18,"Pedro Capó, Farruko",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,Argentina,top200,SAME_POSITION,444430.0
4589461,Adan y Eva,2,2019-01-18,Paulo Londra,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,Argentina,top200,SAME_POSITION,337122.0
4589462,Leña para el Carbón,3,2019-01-18,DJ Alex,https://open.spotify.com/track/5lcL51XmmTrQy09H85wIJZ,Argentina,top200,SAME_POSITION,214700.0
4589463,Sin Culpa (feat. DrefQuila),4,2019-01-18,Duki,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS,Argentina,top200,SAME_POSITION,209370.0
4589464,MIA (feat. Drake),5,2019-01-18,Bad Bunny,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,Argentina,top200,SAME_POSITION,201460.0
4590660,Sunflower - Spider-Man: Into the Spider-Verse,1,2019-01-18,"Post Malone, Swae Lee",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,Australia,top200,SAME_POSITION,297631.0
4590661,Wow.,2,2019-01-18,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,Australia,top200,SAME_POSITION,244196.0
4590662,7 rings,3,2019-01-18,Ariana Grande,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,Australia,top200,NEW_ENTRY,240128.0
4590663,Without Me,4,2019-01-18,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,Australia,top200,MOVE_DOWN,233733.0
4590664,Sweet but Psycho,5,2019-01-18,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,Australia,top200,MOVE_DOWN,201776.0
4590860,Hobby Hobby,1,2019-01-18,MERO,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,Austria,top200,MOVE_UP,95241.0
